,PtxID,Group,Trial,Slope,Intercept,MeanSqErr,MeanAbsErr,Phase
130,Ai275415234NZ493,Reward,22,0.9113573962910864,10.832801012779745,1939.4690029679562,34.58794254143647,Adaptation
131,Ai275415234NZ493,Reward,23,0.9051765890860385,23.93723074916017,2557.019830300553,38.16391160220994,Adaptation
132,Ai275415234NZ493,Reward,24,0.9549867055832992,22.254570631449447,1486.8498700243094,30.84245082872928,Adaptation
133,Ai275415234NZ493,Reward,25,0.9168120629884312,7.647652305532037,1932.6094219933775,33.373225165562914,Adaptation
134,Ai275415234NZ493,Reward,26,,,,,Adaptation
135,Ai275415234NZ493,Reward,27,,,,,Adaptation
136,Ai275415234NZ493,Reward,28,,,,,Adaptation
137,Ai275415234NZ493,Reward,29,,,,,Adaptation
138,Ai275415234NZ493,Reward,30,,,,,Adaptation
139,Ai275415234NZ493,Reward,31,1.0171021624726493,1.1940641156312035,1317.247939161326,27.852818784530385,Adaptation
140,Ai275415234NZ493,Reward,32,0.9587157401091463,9.18103718083382,589.2727154754098,18.092672131147545,Adaptation
141,Ai275415234NZ493,Reward,33,0.9365032121341801,0.7311614849796912,1995.319512222222,35.67313333333334,Adaptation
142,Ai275415234NZ493,Reward,34,0.8347183950193868,1.7783733300584899,2255.4459973470152,39.51363308457711,Adaptation
143,Ai275415234NZ493,Reward,35,0.3115151571151852,8.843405262235507,4174.256209839623,53.630433962264156,Adaptation
144,Ai275415234NZ493,Reward,36,0.9462007845343461,2.770537420615533,1816.5470894423077,32.543660256410256,Adaptation
145,Ai275415234NZ493,Reward,37,1.1801763794809297,-3.790924619446475,1189.1120326292835,28.794118380062304,Adaptation
146,Ai275415234NZ493,Reward,38,0.8657150277067024,-0.1536646397886665,1770.5579952044202,32.83833149171271,Adaptation
147,Ai275415234NZ493,Reward,39,1.098891347639577,2.9995506142337067,1230.2077774890777,28.20797936893204,Adaptation
148,Ai275415234NZ493,Reward,40,0.9431434694196797,5.464024308233824,1846.7935907554042,33.53436405005689,Adaptation
149,Ai275415234NZ493,Reward,41,1.0389847845271951,3.3905362073290033,594.1159467636364,19.912327272727275,Washout
150,Ai275415234NZ493,Reward,42,0.7996422815863203,-10.329014302365149,973.3403765151513,23.655516469038204,Washout
151,Ai275415234NZ493,Reward,43,1.0554404808912312,-7.368994884087955,619.6498445298014,18.59191611479029,Washout
152,Ai275415234NZ493,Reward,44,1.1162148656433062,13.100432166462031,416.5332959166666,17.897516666666665,Washout
153,Ai275415234NZ493,Reward,45,0.8694426650113549,-7.666878782093978,716.363804401105,19.354140331491717,Washout
154,Ai275415234NZ493,Reward,46,1.0011699692622378,-8.479172981927263,870.6247239856355,20.73160552486188,Washout
155,Ai275415234NZ493,Reward,47,1.0463186676188703,4.676146977426681,194.94579868235292,11.76045882352941,Washout
156,Ai275415234NZ493,Reward,48,0.9652766577305466,-5.682314256336774,289.25486335268505,13.385283018867923,Washout
157,Ai275415234NZ493,Reward,49,0.8933527151790506,-4.972738276795579,507.8500839767956,17.179519337016576,Washout
158,Ai275415234NZ493,Reward,50,0.8795873439410968,-0.42911650553844205,534.7414399934853,18.793739413680782,Washout
159,Ai275415234NZ493,Reward,51,0.81892237277551,-2.3502319950857236,480.24434329281775,17.209560220994476,Washout
160,Ai275415234NZ493,Reward,52,0.9593800972669472,-2.918555542858728,397.6628567543103,16.830125,Washout
161,Ai275415234NZ493,Reward,53,,,,,Washout
162,CL78462911bI451,NoReward,0,0.16114404542982574,-12.280897992530734,3941.9330066026487,49.66186092715232,Baseline
163,CL78462911bI451,NoReward,1,0.7848801740170039,-0.023944354819784186,2199.8735477834252,33.89550718232044,Baseline
164,CL78462911bI451,NoReward,2,0.9450293283062627,-7.821552930170549,1686.3886278729283,29.455839779005522,Baseline
165,CL78462911bI451,NoReward,3,1.1319456085756519,-21.29279844670175,1152.7987486850827,27.251012154696134,Baseline
166,CL78462911bI451,NoReward,4,0.9898739724915884,-6.798613497571494,954.5956211480664,22.3673226519337,Baseline
167,CL78462911bI451,NoReward,5,0.7634497848514638,-5.06149433049532,1521.7309077359118,29.911382320441987,Baseline
168,CL78462911bI451,NoReward,6,0.8867913159198936,6.884238588354506,728.492403041989,21.268796685082872,Baseline
169,CL78462911bI451,NoReward,7,0.8653484996958862,5.804815153798163,1066.0527899104973,24.34335359116022,Baseline
170,CL78462911bI451,NoReward,8,0.9306665808946014,-0.20830339748905158,1156.6460550287293,26.643616574585632,Baseline
171,CL78462911bI451,NoReward,9,0.979629150428269,-6.950411300144988,735.59611980221,18.91254475138122,Baseline
172,CL78462911bI451,NoReward,10,1.0667231303743212,-4.830063476271971,434.61698181325966,16.291746961325966,Baseline
173,CL78462911bI451,NoReward,11,0.9548914166822534,-5.272208401158626,317.17001205849886,13.680131346578367,Baseline
174,CL78462911bI451,NoReward,12,0.8858810094821533,29.464831464356934,2430.130587851934,38.281334806629836,Baseline
175,CL78462911bI451,NoReward,13,0.782709416177393,27.37485040641787,3610.7900046254144,46.89797127071824,Baseline
176,CL78462911bI451,NoReward,14,0.988926104867498,21.614146546441635,2219.5796526545255,34.09362582781457,Baseline
177,CL78462911bI451,NoReward,15,1.0576497533586255,29.7599158949665,2761.287235322652,40.21704198895028,Baseline
178,CL78462911bI451,NoReward,16,1.0993203529681292,16.94817879111615,2432.843248282873,39.57251491712707,Baseline
179,CL78462911bI451,NoReward,17,1.0557583230771552,22.27856286806143,2050.7051876754967,38.122969094922745,Baseline
180,CL78462911bI451,NoReward,18,1.0971807491524208,17.478244625621002,2038.2766828718236,35.12422651933702,Baseline
181,CL78462911bI451,NoReward,19,0.5615158415268802,18.4990845285158,5200.532973465194,54.87979889502763,Baseline
